		"DOTA_Tooltip_ability_example_ability"									"Detonation"
		"DOTA_Tooltip_Ability_Deep_Vortex_Lore"  "In Davy Jones' locker there is a graveyard of derelict ships, all that remains of those who dared to challenge Captain Murasa."
		"DOTA_Tooltip_Ability_Deep_Vortex_Duration"  "Duration:"
		"DOTA_Tooltip_Ability_Deep_Vortex_Radius"  "Vortex Radius:"
		"DOTA_Tooltip_Ability_Deep_Vortex_Total_Damage"  "Total Damage:"
		"DOTA_Tooltip_Ability_Deep_Vortex_Slow"  "Move Speed Slow:"
		"DOTA_Tooltip_Ability_Deep_Vortex_Stun_Duration"  "Stun Duration:"
		"DOTA_Tooltip_Ability_Deep_Vortex_Center_Radius"  "Stun Radius:"
		"DOTA_Tooltip_Ability_Deep_Vortex_Aghanim_Description"  "Throws 8 anchors of the current level of Foundering Anchor to the maximum radius of this ability, and fully replenishes anchor charges."

		"DOTA_Tooltip_Ability_Hanumans_Dance"  "Hanuman's Dance"
		"DOTA_Tooltip_Ability_Hanumans_Dance_Description"  "Byakuren consumes a charge to dash forward a short distance, slashing in front of her and dealing bonus magic damage. Bonus damage and slash area increase with each successive cast within a short duration."
		"DOTA_Tooltip_Ability_Hanumans_Dance_Note0"  "Dashes take as much time to complete as a basic attack would, can only be cast while Byakuren can perform a basic attack, and put her attack on cooldown."
		"DOTA_Tooltip_Ability_Hanumans_Dance_Note1"  "Attacking normally, casting other spells or using items will end the chain of slashes."
		"DOTA_Tooltip_Ability_Hanumans_Dance_Note2"  "Slashes apply on-hit affects."
		"DOTA_Tooltip_Ability_Hanumans_Dance_Dash_Range"  "DASH RANGE:"
		"DOTA_Tooltip_Ability_Hanumans_Dance_Radius"  "SLASH RADIUS:"
		"DOTA_Tooltip_Ability_Hanumans_Dance_Bonus_Damage"  "BONUS DAMAGE:"
		"DOTA_Tooltip_Ability_Hanumans_Dance_Recast_Time"  "SUCCESSIVE SLASH WINDOW:"

		"DOTA_Tooltip_Ability_Indras_Thunder"  "Indra's Thunder"
		"DOTA_Tooltip_Ability_Indras_Thunder_Description"  "Byakuren consumes a charge to throw a circle of spirit beads at target enemy; upon reaching them, they pause in place, then detonate, dealing magic damage to all enemies hit and pulling them to the center of the circle."
		"DOTA_Tooltip_Ability_Indras_Thunder_Radius"  "RADIUS:"
		"DOTA_Tooltip_Ability_Indras_Thunder_Damage"  "DAMAGE:"
		"DOTA_Tooltip_Ability_Indras_Thunder_Pull_Duration"  "PULL_DURATION:"

		"DOTA_Tooltip_Ability_Durgas_Soul"  "Durga's Soul"
		"DOTA_Tooltip_Ability_Durgas_Soul_Description"  "Byakuren consumes a charge to become shielded from all damage and immune to debuffs before releasing a shockwave which deals magic damage. The shockwave does more damage based on the amount of damage absorbed during the charge."
		"DOTA_Tooltip_Ability_Durgas_Soul_Note0"  "The shockwave direction can be changed any number of times during the shield duration by recasting the ability."
		"DOTA_Tooltip_Ability_Durgas_Soul_Note1"  "Shockwave damage is increased by 100% for every 500 damage absorbed."
		"DOTA_Tooltip_Ability_Durgas_Soul_Note2"  "Hits units up to 600 away."
		"DOTA_Tooltip_Ability_Durgas_Soul_Duration"  "DURATION:"
		"DOTA_Tooltip_Ability_Durgas_Soul_Damage"  "DAMAGE:"

		"DOTA_Tooltip_Ability_Virudhakas_Sword"  "Virudhaka's Sword"
		"DOTA_Tooltip_Ability_Virudhakas_Sword_Description"  "Byakuren consumes a charge to throw a spear of light at target enemy hero. The spear deals magic damage to any enemies hit along the way, leaving light fragments in them and pulling them with it; when it reaches the target, it impales them, severely slowing them. Light fragments grant Byakuren vision of enemies and Hanuman's Dance and Indra's Thunder bonus effects."
		"DOTA_Tooltip_Ability_Virudhakas_Sword_Note0"  "Hanuman's Dance's dash has greater range when dashing towards light fragments and travels instantly."
		"DOTA_Tooltip_Ability_Virudhakas_Sword_Note1"  "Indra's Thunder has no activation delay when targeted on light fragments."
		"DOTA_Tooltip_Ability_Virudhakas_Sword_Note2"  "Light fragments are removed from enemies when abilities are cast on them."
		"DOTA_Tooltip_Ability_Virudhakas_Sword_Damage"  "DAMAGE:"
		"DOTA_Tooltip_Ability_Virudhakas_Sword_Slow"  "IMPALE SLOW:"
		"DOTA_Tooltip_Ability_Virudhakas_Sword_Slow_Duration"  "IMPALE DURATION:"
		"DOTA_Tooltip_Ability_Virudhakas_Sword_Light_Fragments_Duration"  "LIGHT FRAGMENTS DURATION:"

		"DOTA_Tooltip_Ability_Vajrapanis_Incantation_Channel"  "Vajrapani's Incantation"
		"DOTA_Tooltip_Ability_Vajrapanis_Incantation_Channel_Description"  "Byakuren's abilities cost no mana but each cost 1 charge. Byakuren gains charges by channeling, gaining 1 charge per second."
		"DOTA_Tooltip_Ability_Vajrapanis_Incantation_Channel_Note0"  "If cast while Byakuren has charges, all existing charges are lost."
		"DOTA_Tooltip_Ability_Vajrapanis_Incantation_Channel_Max_Charges"  "MAX CHARGES:"
		"DOTA_Tooltip_Ability_Vajrapanis_Incantation_Channel_Charges_Duration"  "CHARGE DURATION:"

		"DOTA_Tooltip_Ability_Sea_Split"  "The Day the Sea Split"
		"DOTA_Tooltip_Ability_Sea_Split_Description"  "A high-pressure wave deals magical damage and knocks enemies aside."
		"DOTA_Tooltip_Ability_Sea_Split_Lore"  "Sacred texts of the outside world spoke of a prophet who led his people across an ocean."
		"DOTA_Tooltip_Ability_Sea_Split_Damage"  "Damage:"
		"DOTA_Tooltip_Ability_Sea_Split_Knockback_Distance"  "Knockback Distance:"
		
		"DOTA_Tooltip_Ability_Nine_Character_Pierce"  "Nine Syllable Pierce"
		"DOTA_Tooltip_Ability_Nine_Character_Pierce_Description"  "Etches a grid of 9 lines into the air, 4 horizontal and 5 vertical. After a 1 second delay, each line is charged with energy that deals magical damage and briefly stuns the first enemy that touches it before fizzling out."
		"DOTA_Tooltip_Ability_Nine_Character_Pierce_Lore"  "One must never forget that the Shrine Maiden of Moriya is a Goddess as well."
		"DOTA_Tooltip_Ability_Nine_Character_Pierce_Line_Duration"  "Line Duration:"
		"DOTA_Tooltip_Ability_Nine_Character_Pierce_Damage"  "Damage:"
		"DOTA_Tooltip_Ability_Nine_Character_Pierce_Stun_Duration"  "Stun Duration:"
		
		"DOTA_Tooltip_Ability_Gray_Thaumaturgy"  "Gray Thaumaturgy"
		"DOTA_Tooltip_Ability_Gray_Thaumaturgy_Description"  "Sanae gains bonus Agility whenever she damages an enemy hero with her attacks and abilities, and reduces the Agility of nearby enemy heroes by the same amount. The bonus Agility is lost over time."
		"DOTA_Tooltip_Ability_Gray_Thaumaturgy_Lore"  "With a few simple incantations from Sanae, the stage is set for a miracle to occur."
		"DOTA_Tooltip_Ability_Gray_Thaumaturgy_Agility_Gain"  "Agility Per Instance:"
		"DOTA_Tooltip_Ability_Gray_Thaumaturgy_Agility_Loss"  "Bonus Agility Lost Per Second:"
		"DOTA_Tooltip_Ability_Gray_Thaumaturgy_Radius"  "Radius:"

		"DOTA_Tooltip_Ability_Yasakas_Divine_Wind"  "Yasaka's Divine Wind"
		"DOTA_Tooltip_Ability_Yasakas_Divine_Wind_Description"  "A miraculous storm deals magical damage and knocks back enemies to a fixed distance from Sanae, then slows the movement of enemies moving towards Sanae while increasing her movement speed."
		"DOTA_Tooltip_Ability_Yasakas_Divine_Wind_Lore"  "The Wind Priestess becomes a howling force of nature, flinging down even the most dauntless intruders."
		"DOTA_Tooltip_Ability_Yasakas_Divine_Wind_Damage"  "Damage:"
		"DOTA_Tooltip_Ability_Yasakas_Divine_Wind_Slow"  "Move Speed Slow:"
		"DOTA_Tooltip_Ability_Yasakas_Divine_Wind_Movespeed_Bonus"  "Move Speed Bonus:"
		"DOTA_Tooltip_Ability_Yasakas_Divine_Wind_Duration"  "Duration:"
		"DOTA_Tooltip_Ability_Yasakas_Divine_Wind_Knockback_Range"  "Knockback Radius:"
		"DOTA_Tooltip_Ability_Yasakas_Divine_Wind_Slow_Radius"  "Slow Radius:"
		"DOTA_Tooltip_Ability_Yasakas_Divine_Wind_Damage_Per_Second_Scepter"  "Scepter Damage Per Second:"
		"DOTA_Tooltip_Ability_Yasakas_Divine_Wind_Slow_Radius_Scepter"  "Scepter Slow Radius:"
		"DOTA_Tooltip_Ability_Yasakas_Divine_Wind_Aghanim_Description"  "Increases the movement slow radius and deals magical damage each second."
